fsm, mapping, replan, sfc, mpc, df, total, 
3.444e-06, 0, 0, 0, 0.000423325, 4.009e-06, 0.000431099, 
2.354e-06, 0, 0, 0, 0.000370343, 1.0159e-05, 0.000383244, 
1.823e-06, 0, 0, 0, 0.000248759, 1.547e-06, 0.00025238, 
1.643e-06, 0, 0, 0, 0.000257493, 9.926e-06, 0.000269353, 
2.352e-06, 0, 0, 0, 0.000294917, 1.2681e-05, 0.000310214, 
1.511e-06, 0, 0, 0, 0.000250271, 1.681e-06, 0.00025376, 
1.713e-06, 0, 0, 0, 0.000243026, 1.352e-06, 0.000246279, 
2.293e-06, 0, 0, 0, 0.000287426, 3.246e-06, 0.000293489, 
2.927e-06, 0, 0, 0, 0.000387349, 1.903e-06, 0.000392802, 
2.82e-06, 0, 0, 0, 0.000580221, 2.048e-06, 0.000585487, 
2.246e-06, 0, 0, 0, 0.000277135, 4.489e-06, 0.000284184, 
2.097e-06, 0, 0, 0, 0.000515815, 2.226e-06, 0.000520501, 
2.1e-06, 0, 0, 0, 0.000260589, 1.516e-06, 0.000264378, 
2.618e-06, 0, 0, 0, 0.000376974, 2.171e-06, 0.000382006, 
1.96e-06, 0, 0, 0, 0.00026647, 1.908e-06, 0.000270511, 
2.117e-06, 0, 0, 0, 0.00024663, 9.932e-06, 0.000258864, 
1.773e-06, 0, 0, 0, 0.000250878, 1.425e-06, 0.000254265, 
2.621e-06, 0, 0, 0, 0.000300345, 2.12e-06, 0.000305339, 
2.742e-06, 0, 0, 0, 0.000378386, 1.821e-06, 0.00038332, 
3.782e-06, 0, 0, 0, 0.00057461, 1.6583e-05, 0.000595718, 
4.393e-06, 0, 0, 0, 0.000434614, 2.0725e-05, 0.000460266, 
2.863e-06, 0, 0, 0, 0.000322344, 2.633e-06, 0.000328133, 
1.916e-06, 0, 0, 0, 0.000335713, 9.746e-06, 0.000347621, 
2.118e-06, 0, 0, 0, 0.000378844, 2.622e-06, 0.000383939, 
2.735e-06, 0, 0, 0, 0.000523493, 2.129e-06, 0.000528774, 
1.879e-06, 0, 0, 0, 0.000339385, 1.866e-06, 0.000343404, 
1.824e-06, 0, 0, 0, 0.000323649, 1.383e-06, 0.000327111, 
3.042e-06, 0, 0, 0, 0.000546159, 1.5561e-05, 0.000565693, 
1.98e-06, 0, 0, 0, 0.000324454, 1.601e-06, 0.000328265, 
1.821e-06, 0, 0, 0, 0.000392075, 1.482e-06, 0.000395601, 
6.947e-06, 0, 0, 0, 0.000378037, 2.466e-06, 0.000389883, 
6.512e-06, 0, 0, 0, 0.000386088, 2.266e-06, 0.000397546, 
2.31e-06, 0, 0, 0, 0.00033361, 1.3325e-05, 0.000349495, 
2.684e-06, 0, 0, 0, 0.00052005, 1.5027e-05, 0.000538106, 
1.875e-06, 0, 0, 0, 0.000342383, 1.753e-06, 0.000346333, 
1.794e-06, 0, 0, 0, 0.000338459, 1.498e-06, 0.000341978, 
1.458e-06, 0, 0, 0, 0.000323147, 1.777e-06, 0.000326641, 
1.996e-06, 0, 0, 0, 0.000469231, 2.919e-06, 0.000474576, 
1.598e-06, 0, 0, 0, 0.000313893, 1.353e-06, 0.000317072, 
1.835e-06, 0, 0, 0, 0.000332063, 2.575e-06, 0.000336719, 
3.386e-06, 0, 0, 0, 0.000696635, 1.4704e-05, 0.000715307, 
2.03e-06, 0, 0, 0, 0.000346249, 2.12e-06, 0.000350656, 
2.848e-06, 0, 0, 0, 0.000467885, 2.665e-06, 0.000473682, 
2.158e-06, 0, 0, 0, 0.000343253, 1.242e-06, 0.000346841, 
2.414e-06, 0, 0, 0, 0.000336995, 2.274e-06, 0.000342019, 
2.626e-06, 0, 0, 0, 0.000353114, 1.1691e-05, 0.000367807, 
2.721e-06, 0, 0, 0, 0.00034766, 1.1491e-05, 0.000362178, 
3.515e-06, 0, 0, 0, 0.00050971, 1.5585e-05, 0.000529143, 
1.805e-06, 0, 0, 0, 0.000358859, 2.013e-06, 0.000362998, 
1.912e-06, 0, 0, 0, 0.000364594, 2.219e-06, 0.000368944, 
2.817e-06, 0, 0, 0, 0.000719536, 3.637e-06, 0.000726489, 
9.26e-06, 0, 0, 0, 0.000479441, 2.989e-06, 0.000492222, 
1.985e-06, 0, 0, 0, 0.000323366, 1.6e-06, 0.000327108, 
3.089e-06, 0, 0, 0, 0.000642006, 2.254e-06, 0.000647636, 
2.492e-06, 0, 0, 0, 0.000346457, 1.816e-06, 0.000351004, 
3.034e-06, 0, 0, 0, 0.00108496, 2.881e-06, 0.00109133, 
2.692e-06, 0, 0, 0, 0.000499533, 2.637e-06, 0.000505262, 
2.123e-06, 0, 0, 0, 0.000347116, 1.2439e-05, 0.000361909, 
1.798e-06, 0, 0, 0, 0.000335177, 1.374e-06, 0.000338599, 
2.007e-06, 0, 0, 0, 0.000456645, 2.206e-06, 0.000461173, 
1.2337e-05, 0, 0, 0, 0.000481579, 3.108e-06, 0.000497418, 
2.86e-06, 0, 0, 0, 0.00049147, 1.2677e-05, 0.000507502, 
2.663e-06, 0, 0, 0, 0.000562813, 2.1436e-05, 0.000587416, 
3.453e-06, 0, 0, 0, 0.000634518, 1.1357e-05, 0.000649758, 
2.437e-06, 0, 0, 0, 0.000338999, 1.996e-06, 0.000343676, 
2.602e-06, 0, 0, 0, 0.000505784, 2.329e-06, 0.000511027, 
2.389e-06, 0, 0, 0, 0.00048977, 1.952e-06, 0.000494397, 
3.035e-06, 0, 0, 0, 0.00071375, 3.245e-06, 0.000720655, 
1.7579e-05, 0, 0, 0, 0.000584012, 2.411e-06, 0.000604517, 
1.807e-06, 0, 0, 0, 0.000660464, 1.2134e-05, 0.000674717, 
3.001e-06, 0.165023, 0, 0, 0.000497849, 2.583e-06, 0.000503801, 
3.08e-06, 0, 0, 0, 0.000516928, 2.533e-06, 0.000522859, 
3.985e-06, 0, 0, 0, 0.000286518, 2.043e-06, 0.000292817, 
1.814e-06, 0, 0, 0, 0.000278433, 1.458e-06, 0.000281923, 
1.985e-06, 0, 0, 0, 0.000320214, 1.676e-06, 0.000324255, 
2.869e-06, 0, 0, 0, 0.000402751, 2.515e-06, 0.000408449, 
1.642e-06, 0, 0, 0, 0.000266943, 1.827e-06, 0.000270629, 
3.222e-06, 0, 0, 0, 0.000402373, 2.487e-06, 0.000408532, 
1.906e-06, 0, 0, 0, 0.000268501, 1.958e-06, 0.000272644, 
2.538e-06, 0.0869616, 0, 0, 0.000552107, 2.132e-06, 0.000557211, 
3.772e-06, 0, 0, 0, 0.000587326, 3.063e-06, 0.00059449, 
2.184e-06, 0, 0, 0, 0.00028311, 1.2267e-05, 0.000297883, 
2.63e-06, 0, 0, 0, 0.000354672, 1.4681e-05, 0.000372309, 
2.062e-06, 0, 0, 0, 0.000279524, 1.1144e-05, 0.000292994, 
2.06e-06, 0.0443365, 0, 0, 0.000274923, 1.965e-06, 0.00027922, 
2.71e-06, 0, 0, 0, 0.000390378, 2.899e-06, 0.000396382, 
2.905e-06, 0, 0, 0, 0.000387826, 2.542e-06, 0.000393604, 
2.506e-06, 0, 0, 0, 0.000340697, 2.978e-06, 0.00034647, 
1.958e-06, 0, 0, 0, 0.000252211, 9.536e-06, 0.000263987, 
